name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,category,year,,,,,,,,,,
Netil House,Netil House,1 Westgate Street,,Hackney,eatworkart.com,1E+11,E09000012,London Fields,E05009381,-0.057705951,51.53756412,534578.6516,183968.3121,Artists Workspaces,2018,,,,,,,,,,
Second Floor Studios & Arts,Palace Arts Way,,,,,,,,,-0.283276549,51.55954185,518881.6888,186020.6649,Artists Workspaces,2018,,,,,,,,,,
Hotel Elephant,23 Harper Road ,,,Southwark,www.hotelelephant.co.uk,10000811499,E09000028,Chaucer,E05011098,-0.095950285,51.49882177,532039.1238,179591.3185,Artists Workspaces,2018,,,,,,,,,,
Hetley Rd,62 Hetley Rd,,,Hammersmith and Fulham,www.acava.org,34100876,E09000013,Shepherd's Bush Green,E05000263,-0.2336672,51.50456464,522467.2273,179990.1241,Artists Workspaces,2018,,,,,,,,,,
Vale Grove,Impress House,,,Ealing,www.acava.org,12155317,E09000009,Southfield,E05000191,-0.261336032,51.50562536,520544.6401,180062.0579,Artists Workspaces,2018,,,,,,,,,,
Copperfield Gallery,6 Copperfield Street,,,Southwark,www.copperfieldgallery.com,2E+11,E09000028,Borough & Bankside,E05011095,-0.097267573,51.50316867,531935.1533,180072.2275,Artists Workspaces,2018,,,,,,,,,,
The Rum Factory ,Unit 4 Pennington Street Warehouse,"Pennington Street,",,Tower Hamlets,www.bowarts.org    www.artiststudiofinder.org   www.londonsartistquarter.org,6195060,E09000030,St. Katharine's & Wapping,E05009330,-0.062944696,51.50860472,534300.6552,180739.0608,Artists Workspaces,2018,,,,,,,,,,
R.A.W Studios,"Norton Quays,",Royal Albert Wharf,,Newham,www.bowarts.org    www.artiststudiofinder.org   www.londonsartistquarter.org,10012839984,E09000025,Beckton,E05000475,0.074924925,51.50636087,543872.452,180751.7841,Artists Workspaces,2018,,,,,,,,,,
Trinity Art Studios,Studio 1,8 TRINITY BUOY WHARF,,Tower Hamlets,Trinitybuoywharf.com,6179235,E09000030,Blackwall & Cubitt Town,E05009318,0.00848912,51.50824807,539257.528,180833.0022,Artists Workspaces,2018,,,,,,,,,,
Trinity Buoy Wharf,64 Orchard Place,,,Tower Hamlets,www.trinitybuoywharf.com,10091954134,E09000030,Blackwall & Cubitt Town,E05009318,0.008742624,51.50844157,539274.5247,180854.9984,Artists Workspaces,2018,,,,,,,,,,
Somerset House Studios,Somerset House,Strand,,City of Westminster,somersethouse.org.uk,10033582458,E09000033,St. James's,E05000644,-0.117952415,51.51102034,530477.4889,180908.0533,Artists Workspaces,2018,,,,,,,,,,
Cable Street Studios,566,Cable Street,,Tower Hamlets,,6717530,E09000030,Shadwell,E05009332,-0.042996736,51.51136698,535676.3645,181082.9826,Artists Workspaces,2018,,,,,,,,,,
Flying Angel,287 Victoria Dock Rd,,,Newham,www.acava.org,10023998099,E09000025,Custom House,E05000479,0.028044592,51.51019552,540608.1909,181086.9205,Artists Workspaces,2018,,,,,,,,,,
Art Space at St Katharines,2 Butcher Row,,,Tower Hamlets,www.bowarts.org    www.artiststudiofinder.org   www.londonsartistquarter.org,6169658,E09000030,Shadwell,E05009332,-0.041463615,51.51149426,535782.3417,181099.9803,Artists Workspaces,2018,,,,,,,,,,
Blechynden St,54 Blechynden St,,,Kensington and Chelsea,www.acava.org,217107233,E09000020,Notting Dale,E05009399,-0.21686752,51.51448115,523606.0056,181120.9341,Artists Workspaces,2018,,,,,,,,,,
Fitzgerald House,East India Dock Road,,,Tower Hamlets,www.bowarts.org    www.artiststudiofinder.org   www.londonsartistquarter.org,6129546,E09000030,Lansbury,E05009325,-0.014953291,51.51165109,537620.9373,181166.9867,Artists Workspaces,2018,,,,,,,,,,
Limehouse Town Hall,646 Commercial Rd,,,Tower Hamlets,www.limehousetownhall.co.uk/,10091898716,E09000030,Limehouse,E05009326,-0.031406437,51.51210827,536478.1912,181186.9717,Artists Workspaces,2018,,,,,,,,,,
Ratcliffe Cross Street ,1-9 Ratcliffe Cross Street,,,Tower Hamlets,www.themillcoproject.co.uk,6171933,E09000030,Shadwell,E05009332,-0.042873615,51.51289369,535680.3677,181252.9474,Artists Workspaces,2018,,,,,,,,,,
Maxilla Walk,4 Maxilla Walk,,,Kensington and Chelsea,www.acava.org,217057292,E09000020,St. Helen's,E05009404,-0.215787564,51.51629922,523675.9945,181324.897,Artists Workspaces,2018,,,,,,,,,,
The Crow's Nest,3-5 Crowthorne Rd,,,Kensington and Chelsea,www.artcoreint.net,217022375,E09000020,St. Helen's,E05009404,-0.219992996,51.51638109,523384.058,181326.8921,Artists Workspaces,2018,,,,,,,,,,
George Studios,136 George Street,,,City of Westminster,https://www.interimspaces.co.uk/georgestudios,10033592501,E09000033,Bryanston and Dorset Square,E05000632,-0.163878723,51.51611869,527277.201,181393.9241,Artists Workspaces,2018,,,,,,,,,,
Aberfieldy Street studios,Aberfieldy Street ,,,Tower Hamlets,www.bowarts.org    www.artiststudiofinder.org   www.londonsartistquarter.org,6210893,E09000030,Lansbury,E05009325,-0.006218176,51.51399396,538219.8066,181443.9443,Artists Workspaces,2018,,,,,,,,,,
The Koppel Project Hive,26 Holborn Viaduct,,,City and County of the City of London,www.thekoppelproject.com,2E+11,E09000001,Farringdon Within,E05009304,-0.105648316,51.51718918,531313.3118,181615.9387,Artists Workspaces,2018,,,,,,,,,,
ArtsAdmin,Toynbee Studios,28 Commercial Street,,Tower Hamlets,www.artsadmin.co.uk,6090198,E09000030,Spitalfields & Banglatown,E05009333,-0.072187702,51.51666169,533635.8123,181617.8965,Artists Workspaces,2018,,,,,,,,,,
Leven Road,40 Leven Road,Poplar,,Tower Hamlets,www.acme.org.uk,6652767,E09000030,Lansbury,E05009325,-0.00758686,51.51697596,538115.8414,181772.8978,Artists Workspaces,2018,,,,,,,,,,
Great Western Studios,Great Western Studios,65 Alfred Road,,City of Westminster,https://www.greatwesternstudios.com/,10033617199,E09000033,Westbourne,E05000648,-0.196309173,51.52119908,525013.7082,181902.8029,Artists Workspaces,2018,,,,,,,,,,
Copperfield Road,42/44 Copperfield Road,Bow,,Tower Hamlets,www.acme.org.uk,6048178,E09000030,Mile End,E05009327,-0.03580472,51.51907944,536152.2818,181953.808,Artists Workspaces,2018,,,,,,,,,,
West London Art Factory, 153 Dukes Rd,,,Ealing,http://www.westlondonartfactory.com/about-us,12187273,E09000009,East Acton,E05000175,-0.28239624,51.5238037,519035.9951,182048.6389,Artists Workspaces,2018,,,,,,,,,,
The Fire Station,30 Gillender Street,Poplar,,Tower Hamlets,www.acme.org.uk,6083286,E09000030,Lansbury,E05009325,-0.009820501,51.5196308,537952.8832,182063.8409,Artists Workspaces,2018,,,,,,,,,,
Cockpit Bloomsbury,Cockpit Yard,Northington Street,,Camden,www.cockpitarts.com,5082549,E09000007,Holborn and Covent Garden,E05000138,-0.116080083,51.52146685,530577.4825,182072.8426,Artists Workspaces,2018,,,,,,,,,,
Worship Street,50 Worship St,Shoreditch,,Hackney,http://www.v22collection.com,10008400568,E09000012,Hoxton East & Shoreditch,E05009377,-0.083829052,51.5219245,532812.9948,182181.8131,Artists Workspaces,2018,,,,,,,,,,
Brickfield,30 Brickfield Road,Tower Hamlets,,Tower Hamlets,www.spacestudios.org.uk,6155760,E09000030,Bromley South,E05009322,-0.013888751,51.52087781,537666.9522,182194.8109,Artists Workspaces,2018,,,,,,,,,,
Limehouse Studios,Towcester Rd,,,Tower Hamlets,www.acava.org,6086500,E09000030,Bromley South,E05009322,-0.011952243,51.52132162,537799.9218,182247.8027,Artists Workspaces,2018,,,,,,,,,,
L-13 Light Industrial Workshop,31 Eyre Street Hill,Clerkenwell,,Camden,https://l-13.org,5145678,E09000007,Holborn and Covent Garden,E05000138,-0.110741889,51.52297272,530943.4027,182249.816,Artists Workspaces,2018,,,,,,,,,,
Empson Street,Unit 3 Empson Street Bow,,,Tower Hamlets,www.ascstudios.co.uk,6177430,E09000030,Bromley South,E05009322,-0.012671208,51.52169352,537748.9345,182287.7939,Artists Workspaces,2018,,,,,,,,,,
Queensrolla House,18 Trading Estate Road,,,Ealing,http://queensrollahouse.com/,12181846,E09000009,East Acton,E05000175,-0.269213144,51.52628079,519943.7971,182345.606,Artists Workspaces,2018,,,,,,,,,,
Buspace Studios,5 Conlan Street,Unit127,,Kensington and Chelsea,http://www.buspace.co.uk/,217120223,E09000020,Golborne,E05009396,-0.211262853,51.52546573,523964.952,182351.7081,Artists Workspaces,2018,,,,,,,,,,
Park Royal,Unit A/B,28 - 30 Park Royal Rd,,Ealing,www.acava.org,12105792,E09000009,East Acton,E05000175,-0.267416716,51.52689275,520066.7709,182416.5958,Artists Workspaces,2018,,,,,,,,,,
Northwest & NW10 Studios,Cadogen House,60 Hythe Road,,Hammersmith and Fulham,https://nwstudios.wordpress.com,34141600,E09000013,College Park and Old Oak,E05000253,-0.236173141,51.52659825,522234.3286,182435.6641,Artists Workspaces,2018,,,,,,,,,,
52-56 Standard Road,"Park Royal, London ",,,Ealing,www.artistic-spaces.co.uk,12189460,E09000009,East Acton,E05000175,-0.263787706,51.52830491,520314.7198,182579.5721,Artists Workspaces,2018,,,,,,,,,,
Regents House,17 Hythe Road,,,Hammersmith and Fulham,https://nwstudios.wordpress.com,34004522,E09000013,College Park and Old Oak,E05000253,-0.243547884,51.52826456,521718.4331,182608.6138,Artists Workspaces,2018,,,,,,,,,,
