name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing
Hampton Hill Theatre,90 High St, Hampton Hill, Hampton,Richmond upon Thames,http://www.hamptonhilltheatre.org.uk/,10002251133,E09000027,Fulwell and Hampton Hill,E05000518,-0.356547716,51.42763905,514133.1937,171238.7606
Harold Pinter Theatre,Panton St,NA,NA,City of Westminster,http://www.atgtickets.com/venues/harold-pinter-theatre/,10033540343,E09000033,St. James's,E05000644,-0.133275661,51.50983451,529417.8257,180748.9756
Harrow Arts Centre,171 Uxbridge road, Hatch End,NA,Harrow,https://harrowarts.com/,2.00E+11,E09000015,Hatch End,E05000291,-0.364087228,51.60897493,513158.4274,191388.4576
Haverstock School Theatre ,Haverstock School, 24 Haverstock Hill,NA,Camden,NA,5090679,E09000007,Haverstock,E05000136,-0.155023519,51.54480979,527811.028,184599.2826
Hen and Chickens Theatre,109 St Paul's Road,NA,NA,Islington,https://www.thehenandchickenstheatrebar.co.uk/,5300086694,E09000019,Highbury East,E05000372,-0.103133475,51.5465405,531403.1558,184883.7295
Her Majesty's Theatre,Haymarket, St. James's,NA,City of Westminster,http://www.reallyusefultheatres.co.uk/our-theatres/her-majestys,1.00E+11,E09000033,St. James's,E05000644,-0.133612605,51.50863462,529397.8512,180614.9749
Hoxton Hall,130 Hoxton St,NA,NA,Hackney,https://www.hoxtonhall.co.uk/,1.00E+11,E09000012,Hoxton East & Shoreditch,E05009377,-0.081609167,51.53232501,532936.6471,183342.1591
Institute of Contemporary Arts,The Mall, St. James's,NA,City of Westminster,https://www.ica.art/,10033548625,E09000033,St. James's,E05000644,-0.131915742,51.50714179,529519.8098,180452.0065
Intimate Theatre,521 Green Lanes, Palmers Green,NA,Enfield,http://www.smptheatre.co.uk/faqs/the-intimate-theatre/,207035876,E09000010,Winchmore Hill,E05000213,-0.105149434,51.62504172,531037.0743,193607.792
Iris Theatre,St Paul's Church, Bedford Street, Covent Garden,City of Westminster,http://iristheatre.com/,1.00E+11,E09000033,St. James's,E05000644,-0.125333186,51.51209234,529962.4079,181014.0914
Isleworth Public Hall,South Street, Isleworth,NA,Hounslow,http://www.fusion-lifestyle.com/centres/isleworth-public-hall,1.00E+11,E09000018,Isleworth,E05000362,-0.327225027,51.46928924,516065.3976,175915.5011
Jacksons Lane,269A Archway Rd, Highgate,NA,Haringey,https://www.jacksonslane.org.uk/,1.00E+11,E09000014,Highgate,E05000272,-0.147975292,51.57761261,528207.242,188258.6539
